82.22%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.22%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.33%,2.22%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
0.0%,89.29%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.79%,0.0%,8.93%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
0.0%,0.0%,85.71%,2.04%,0.0%,0.0%,0.0%,0.0%,2.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.08%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.08%,
0.0%,0.0%,0.0%,79.59%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.04%,0.0%,0.0%,0.0%,0.0%,0.0%,8.16%,0.0%,0.0%,0.0%,2.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.08%,0.0%,4.08%,
0.0%,0.0%,0.0%,0.0%,90.91%,0.0%,0.0%,2.27%,2.27%,0.0%,0.0%,0.0%,2.27%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.27%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
0.0%,0.0%,0.0%,0.0%,0.0%,84.62%,0.0%,0.0%,15.38%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,16.67%,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.33%,0.0%,0.0%,
0.0%,0.0%,0.0%,3.57%,0.0%,0.0%,0.0%,82.14%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.57%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.57%,0.0%,7.14%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.24%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.94%,0.0%,0.0%,0.0%,0.0%,0.0%,5.88%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.94%,0.0%,0.0%,
0.0%,2.94%,5.88%,0.0%,0.0%,0.0%,0.0%,2.94%,5.88%,70.59%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.88%,2.94%,0.0%,0.0%,0.0%,0.0%,0.0%,2.94%,0.0%,0.0%,0.0%,
